,hnn,hnn_ensemble,mc_dropout,concrete_dropout,extra,rf,usnrt
Electrical,*0.11558189610527796,0.14057709467789986,0.41705017123371785,0.12818076841053233,0.5880516282126029,0.4841541647821398,0.17570777772112953
Conditional,*0.033370867389731315,0.03756860873492568,0.1657050165445763,7997.663540489234,0.3705699924192268,0.24358974672582448,0.06412401280789497
Appliances,0.673236781863326,0.7165197499688707,*0.28829191428658785,0.7853093724401994,0.7559170486745577,0.722296910665065,0.596216441538693
Real-time,0.029236903920603668,0.03423971446967714,0.2763446362809475,2391386657851141.0,0.01806170372028145,0.017389156520701783,*0.014101481649954265
Industry,*0.012935592265331997,0.017674224288155092,0.28896743190690966,0.03063643319435923,0.06819689729026673,0.04093935776466738,0.014990851167209223
Facebook1,0.2687365365806984,0.3363937959216693,0.2816208213679007,inf,0.21956982767359276,*0.18029724144987141,0.2361650621013606
Beijing,0.6395088625991743,0.6660505912560831,*0.3382204783740346,0.682079367529424,0.7492581887287025,0.6741290476043248,0.6277497627209291
Physicochemical,0.6059373060117019,0.6382600074738105,*0.32630823935893905,425.9390108645442,0.7979407247764281,0.6773497641598885,0.595366058758893
Traffic,0.9656657310561669,0.9654992312778157,*0.12167100510905189,538.3212153961853,0.9593601393644814,0.9503700744359331,0.9576294068347971
Blog,0.472563355644348,0.6048500399267653,0.3538623434849605,inf,0.274625526182417,*0.248130368813944,0.40801003807372294
Power,0.7174684948617082,0.7369139620946455,*0.2431275052645673,0.7494531084321393,0.7900155766512367,0.693748764514243,0.7028224554373919
Online,*0.06115585484836742,0.0723200549352622,0.42653641661214464,0.26001325829005706,0.12540204685100903,0.09383020067156157,0.06171311648093687
Facebook2,0.3246767195661858,0.38375786227543585,0.3291262878961401,1.2552924771288334e+140,0.21449981152628322,*0.17833325829452346,0.2355282834432991
Year,0.7434606244026831,0.751708749756114,*0.16362619698309042,inf,0.9094625791893277,0.860831695057627,0.7530710758944943
Query,0.07592245282552468,0.08836036291740809,0.385952687870821,0.17852578287498022,0.2175593292838126,0.10968790106191076,*0.07054068220591596
GPU,0.03686060025337681,0.04510931692215606,0.26631202629825557,0.10510937581474339,0.049732416024097836,0.03401054192028506,*0.027421710430903284
Wave,*0.00010863840175905239,0.00014343294472739492,0.2562150166178103,0.060503864604118315,0.047289830459024906,0.04073634029191583,0.014713250544357662
