,mc_dropout,concrete_dropout,hnn_ensemble,evidential,usnrt_ensemble
Electrical,0.27114717883476425,-0.893920502522312,*-0.969185351161433,-0.8865728139877319,-0.49692104532590176
Conditional,297.95966661345386,0.05005052570303078,*-2.3925026681799926,-1.6263330221176147,-1.8348521328297784
Appliances,11.816923872920517,1.0300156457310536,0.6449489608350933,*0.1059224352240562,0.41059927077057834
Real-time,-0.40397077570232165,-0.9567337877823798,*-5.9880000385461685,-5.4079365730285645,-5.259616527584155
Industry,-0.351763937937893,-2.6680656542118375,*-4.15011500415722,-4.079863882064819,-3.78314523553136
Facebook1,2.784654719321692,inf,-1.505494929736656,*-2.785351037979126,-1.7914162260759645
Beijing,3.180777255699176,0.8580517279106374,0.7348415080427438,0.7068030357360839,*0.6960250708756206
Physicochemical,6.104981232288196,1.1100989884263481,0.8160005901477382,*0.6417621731758117,0.7676115037507386
Traffic,7555.460779056727,1.4059908596756352,1.374688866730316,1.4079733848571778,*1.3679694301676537
Blog,5.423489927589412,inf,-0.6900893054206494,*-1.9501343011856078,-1.2642276146977884
Power,74.80568461313979,1.003521622440147,0.9184584436306722,0.96817467212677,*0.8982410279835786
Online,0.15475494578329962,-1.117603591186578,-2.1403532788005304,-2.152322769165039,*-2.342806036911495
Facebook2,4.07420120526507,2.124834385333071,-1.4524788739196786,*-2.8305190563201905,-1.8090972016355813
Year,70.60347716295902,inf,0.9919285161908079,*0.948659598827362,0.9880668925334425
Query,0.780083485739187,-1.6691987687219338,-2.0245929030647427,-1.781415581703186,*-2.18703195522418
GPU,0.8926577751875532,-1.6576499455492903,-2.505320657228241,-2.374287366867065,*-2.834467307310461
Wave,-0.4461310967432468,-1.839910375830779,*-8.073427183330164,-4.892605304718018,-6.982790024974471
